country,acronym,population,production-based_PDF,PDF_footprint,net_importer,percapite_production_based_PDF,percapita_PDF_footprint,percapita_net_trade,Indicator_Name,Indicator_Code,GNI_percapita_PPP,Adj_netNationalIncome_percapita
Australia,AUS,25365745,0.0039953183,5.19546e-4,-0.0034757723,1.5750841e-10,2.048218e-11,-1.3702622e-10,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
New Zealand,NZL,4979300,7.180692e-4,2.881964e-4,-4.298728e-4,1.4421088e-10,5.78789e-11,-8.633197e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,42210.38426854043,34852.07017298627
Colombia,COL,50339443,0.0037648201,0.0017195578,-0.0020452623,7.478867e-11,3.415925e-11,-4.062941e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,14293.69557673888,5372.746008609052
Gabon,GAB,2172578,1.577395e-4,7.738e-5,-8.03596e-5,7.260477e-11,3.561665e-11,-3.698811e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,12653.011146078585,5721.159972032308
Belize,BLZ,390351,2.05252e-5,6.1437e-6,-1.43815e-5,5.258144e-11,1.573882e-11,-3.68426e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,8417.4320298262,3749.083961823834
Uruguay,URY,3461731,1.24189e-4,4.20731e-5,-8.2116e-5,3.587483e-11,1.215376e-11,-2.372106e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,22393.367298295037,14452.663511028404
Panama,PAN,4246440,2.612053e-4,1.718734e-4,-8.93318e-5,6.151159e-11,4.047471e-11,-2.103687e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Rep Congo,COG,5380504,1.540048e-4,4.28175e-5,-1.111872e-4,2.862274e-11,7.9579e-12,-2.066483e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,3230.17709795683,528.1091406137466
Jamaica,JAM,2948277,1.553803e-4,9.6468e-5,-5.89123e-5,5.270208e-11,3.272014e-11,-1.998194e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,9957.94958245116,4846.3541767162415
Costa Rica,CRI,5047561,2.310017e-4,1.33331e-4,-9.76707e-5,4.576501e-11,2.641493e-11,-1.935007e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,19584.577708350556,11177.77157687089
Kazakhstan,KAZ,18513673,6.377965e-4,2.821475e-4,-3.55649e-4,3.445003e-11,1.523995e-11,-1.921007e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,22786.553020580617,8253.032927334798
Argentina,ARG,44938712,0.0011600393,5.301119e-4,-6.299275e-4,2.581381e-11,1.179632e-11,-1.401747e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,21205.47120460712,10511.825326795732
Paraguay,PRY,7044639,2.545772e-4,1.569566e-4,-9.76205e-5,3.613772e-11,2.228029e-11,-1.385742e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,13196.093344601592,5570.05034594471
Brazil,BRA,211049519,0.0078577161,0.0052165751,-0.0026411409,3.723162e-11,2.47173e-11,-1.251431e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,14290.61163839783,7404.234321136019
Nicaragua,NIC,6545503,2.714716e-4,2.004568e-4,-7.10148e-5,4.147452e-11,3.062511e-11,-1.08494e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,5212.7213069787185,1690.9138714051965
Guatemala,GTM,16604026,3.697926e-4,2.100739e-4,-1.597186e-4,2.227126e-11,1.265198e-11,-9.61927e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,8514.176033953972,3713.2439199984337
Cuba,CUB,11333484,9.148986e-4,8.076217e-4,-1.072769e-4,8.072527e-11,7.125978e-11,-9.46548e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Papua New Guinea,PNG,8776119,0.0016970741,0.0016234893,-7.35848e-5,1.933741e-10,1.8498943e-10,-8.38466e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Turkmenistan,TKM,5942094,1.478732e-4,9.80708e-5,-4.98024e-5,2.488571e-11,1.650442e-11,-8.38128e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Honduras,HND,9746115,2.622122e-4,1.91785e-4,-7.04272e-5,2.690428e-11,1.967809e-11,-7.22618e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,5188.036350686911,2068.231120775072
Central African Republic,CAF,4745179,3.83292e-5,6.1627e-6,-3.21666e-5,8.07751e-12,1.29872e-12,-6.77878e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,930.6433366149056,367.5342066209993
Dominican Republic,DOM,10738957,5.78155e-4,5.076006e-4,-7.05544e-5,5.383716e-11,4.726721e-11,-6.56995e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,17341.011964229023,7311.186346344282
Ecuador,ECU,17373657,6.577324e-4,5.479162e-4,-1.098161e-4,3.785803e-11,3.153718e-11,-6.32084e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,11053.237619989704,4562.0146549637975
Laos,LAO,7169456,1.791261e-4,1.372522e-4,-4.18739e-5,2.498462e-11,1.914402e-11,-5.84059e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Greece,GRC,10721582,2.480623e-4,1.986775e-4,-4.93849e-5,2.313673e-11,1.853061e-11,-4.60611e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,29456.999604766865,15852.340118339209
South Africa,ZAF,58558267,0.0013148822,0.0010680485,-2.468337e-4,2.245425e-11,1.823907e-11,-4.21518e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,13506.048140600473,5150.493147495475
Peru,PER,32510462,0.0010769661,9.445111e-4,-1.32455e-4,3.312676e-11,2.905252e-11,-4.07422e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,12279.268931483164,5604.340792081897
Madagascar,MDG,26969306,0.0033539755,0.0032550488,-9.89267e-5,1.2436269e-10,1.2069456e-10,-3.66812e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,1530.0565574911714,388.00198129780784
Spain,ESP,47134837,0.0010854489,9.179739e-4,-1.674751e-4,2.302859e-11,1.947548e-11,-3.5531e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,40854.139361380185,23849.25808106634
Malaysia,MYS,31949789,0.0011842316,0.0010801888,-1.040428e-4,3.70654e-11,3.380895e-11,-3.25644e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,26950.91545517302,7861.015945193273
Philippines,PHL,108116622,0.0022606474,0.0019386371,-3.220102e-4,2.090934e-11,1.793098e-11,-2.97836e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,9589.807293966303,3485.6257013246723
Cote d'Ivoire,CIV,25716554,1.657196e-4,1.04252e-4,-6.14676e-5,6.44408e-12,4.05388e-12,-2.39019e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4990.608151301839,1988.5146874330871
Moldova,MDA,2664974,1.12148e-5,5.6955e-6,-5.5193e-6,4.20822e-12,2.13716e-12,-2.07105e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,13450.200582746033,3258.833237671752
Ukraine,UKR,44386203,2.89549e-4,1.986811e-4,-9.08679e-5,6.5234e-12,4.47619e-12,-2.04721e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,12964.4365234375,2280.0712890625
Syria,SYR,17070132,1.498308e-4,1.210807e-4,-2.87502e-5,8.77737e-12,7.09313e-12,-1.68423e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Georgia,GEO,3720161,4.14861e-5,3.64647e-5,-5.0214e-6,1.115171e-11,9.80192e-12,-1.34978e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,14314.323241803564,4011.72031920033
Romania,ROU,19371648,1.162588e-4,9.20797e-5,-2.4179e-5,6.00149e-12,4.75332e-12,-1.24816e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,29568.957137380123,9536.842192887949
Chile,CHL,18952035,2.252062e-4,2.018289e-4,-2.33773e-5,1.188296e-11,1.064945e-11,-1.2335e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,23892.70512734409,10938.495183025116
Bolivia,BOL,11513102,7.294586e-4,7.153735e-4,-1.4085e-5,6.335899e-11,6.21356e-11,-1.22339e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,8353.24065130741,2816.1631111101733
Indonesia,IDN,270625567,0.0048290382,0.0045210168,-3.080215e-4,1.784398e-11,1.67058e-11,-1.13818e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,11497.970664104512,3101.174037468585
Liberia,LBR,4937374,3.42262e-5,2.89254e-5,-5.3008e-6,6.93207e-12,5.85846e-12,-1.07361e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Cameroon,CMR,25876387,1.263525e-4,1.006716e-4,-2.56809e-5,4.88293e-12,3.89048e-12,-9.9244e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,3675.295146805374,1202.995841071864
Sri Lanka,LKA,21803000,5.328513e-4,5.115277e-4,-2.13236e-5,2.443936e-11,2.346134e-11,-9.7801e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,13262.95821553548,3781.765659469173
Mongolia,MNG,3225166,1.395221e-4,1.363726e-4,-3.1495e-6,4.326045e-11,4.22839e-11,-9.7654e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,11073.97333013311,3506.2408048178213
Sierra Leone,SLE,7813207,2.1249e-5,1.40956e-5,-7.1534e-6,2.71963e-12,1.80407e-12,-9.1554e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,1634.793783828227,592.5503776084546
Equatorial Guinea,GNQ,1355982,1.03235e-5,9.1916e-6,-1.1319e-6,7.6133e-12,6.77857e-12,-8.3473e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,11833.251806281549,2814.5175396420727
Thailand,THA,69625581,8.956364e-4,8.407719e-4,-5.48644e-5,1.286361e-11,1.207561e-11,-7.8799e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Cambodia,KHM,16486542,8.5846e-5,7.40012e-5,-1.18449e-5,5.20704e-12,4.48858e-12,-7.1845e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4187.775988384557,1318.736981324462
Myanmar,MMR,54045422,2.178927e-4,1.835371e-4,-3.43556e-5,4.03166e-12,3.39597e-12,-6.3568e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4668.941620103147,1252.9271123642488
Somalia,SOM,15442906,6.81413e-5,5.94355e-5,-8.7058e-6,4.41247e-12,3.84872e-12,-5.6374e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Uganda,UGA,44269587,4.67228e-5,3.35745e-5,-1.31482e-5,1.05541e-12,7.5841e-13,-2.97e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2190.2608933586325,801.1552386803239
Tanzania,TZA,58005461,2.616764e-4,2.498996e-4,-1.17769e-5,4.51124e-12,4.3082e-12,-2.0303e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2537.38989257813,889.172729492188
Mali,MLI,19658023,1.69794e-5,1.34118e-5,-3.5676e-6,8.6374e-13,6.8225e-13,-1.8148e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2131.3248255375356,620.5615657432486
Ethiopia/DR Ethiopia (1992/1993),ETH,112078727,2.52497e-4,2.387601e-4,-1.37369e-5,2.25285e-12,2.13028e-12,-1.2256e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2168.3797869085174,675.7590432234163
Eritrea,ERI,3497117,1.10239e-5,1.08734e-5,-1.505e-7,3.15228e-12,3.10924e-12,-4.303e-14,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Burundi,BDI,11530577,2.36597e-5,2.37061e-5,4.64e-8,2.05191e-12,2.05593e-12,4.02e-15,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,732.0425961544674,198.65465933546173
Rwanda,RWA,12626938,3.09134e-5,3.13245e-5,4.112e-7,2.44821e-12,2.48077e-12,3.256e-14,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2117.9853719388266,697.3246268761985
Turkey,TUR,83429607,0.0010124304,0.0010155917,3.1613e-6,1.213515e-11,1.217303e-11,3.789e-14,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Burkina Faso,BFA,20321383,1.04404e-5,1.16766e-5,1.2362e-6,5.1377e-13,5.7459e-13,6.083e-14,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,1993.4790065258812,644.6524093400359
Niger,NER,23310719,1.16488e-5,1.33362e-5,1.6875e-6,4.9972e-13,5.721e-13,7.239e-14,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,1271.7329380511246,525.0798761856482
India,IND,1366417756,0.0034745212,0.003612401,1.378798e-4,2.5428e-12,2.6437e-12,1.009e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,6554.320413078902,1711.3920684128484
DR Congo,COD,86790568,3.196042e-4,3.294735e-4,9.8694e-6,3.68248e-12,3.79619e-12,1.1371e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,998.1224509903896,419.823943566162
Mexico,MEX,127575529,0.0036862525,0.0037015936,1.53411e-5,2.889467e-11,2.901491e-11,1.2025e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,19471.08158009015,7986.800623287184
Togo,TGO,8082359,5.7947e-6,6.86e-6,1.0654e-6,7.1695e-13,8.4876e-13,1.3181e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2079.602947918301,772.5090388057583
Chad,TCD,15946882,6.8921e-6,9.7245e-6,2.8324e-6,4.3219e-13,6.098e-13,1.7760999999999999e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,1538.0142431388467,466.59576831063833
Benin,BEN,11801151,4.1226e-6,6.5059e-6,2.3833e-6,3.4934e-13,5.5129e-13,2.0195e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,3124.6913484584225,1025.99904844824
Bulgaria,BGR,6975761,3.29646e-5,3.4687e-5,1.7224e-6,4.72559e-12,4.9725e-12,2.4691e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,22590.949187182385,7119.924193683326
Malawi,MWI,18628749,1.99152e-5,2.47888e-5,4.8736e-6,1.06906e-12,1.33067e-12,2.6161e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Croatia,HRV,4065253,2.62342e-5,2.73887e-5,1.1544e-6,6.45328e-12,6.73726e-12,2.8397e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,29373.03219496916,12223.51023831132
Sudan/North Sudan (2010/2011),SDN,42813237,3.39186e-5,4.61388e-5,1.22202e-5,7.9225e-13,1.07767e-12,2.8543e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,3939.33959960938,1287.49194335938
Afghanistan,AFG,38041757,9.7058e-5,1.080222e-4,1.09642e-5,2.55135e-12,2.83956e-12,2.8821e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Haiti,HTI,11263079,2.875566e-4,2.908855e-4,3.3289e-6,2.553091e-11,2.582646e-11,2.9555e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,3122.5533578316513,1372.2235710528334
North Korea,PRK,25666158,2.11711e-5,2.87667e-5,7.5955e-6,8.2486e-13,1.1208e-12,2.9593e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Guinea,GIN,12771246,2.55517e-5,2.9333e-5,3.7813e-6,2.00072e-12,2.29679e-12,2.9607e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,2436.3894356928568,732.2868580673206
Kenya,KEN,52573967,1.021151e-4,1.184726e-4,1.63576e-5,1.94231e-12,2.25344e-12,3.1113e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4527.724841875569,1362.8583551001643
Tajikistan,TJK,9321023,4.03721e-5,4.37485e-5,3.3763e-6,4.3313e-12,4.69352e-12,3.6222e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,4110.545243840092,1154.558622806979
Pakistan,PAK,216565317,1.104653e-4,1.933574e-4,8.28921e-5,5.1008e-13,8.9283e-13,3.8275e-13,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,5067.070251422379,1188.4542055073057
